player_id,player_name,player_position,team_id,expected_assists,goals_scored,expected_goals_conceded,threat,influence,creativity,expected_goals,saves,goals_conceded,assists,ict_index,expected_goal_involvements,starts,minutes,total_points,clean_sheets
446,Andrew Robertson,DEF,12,6.69,0,36.59,211.0,549.2,862.1,1.24,0,34,8,162.3,7.93,29,2579,121,9
447,Trent Alexander-Arnold,DEF,12,9.26,2,43.1,241.0,779.0,1168.2,2.36,0,44,11,219.0,11.62,34,2922,156,10
448,Joseph Gomez,DEF,12,0.67,0,25.28,27.0,297.8,43.7,0.2,0,16,0,36.9,0.87,15,1461,68,8
449,Naby Keita,MID,12,0.2,0,4.06,54.0,23.8,92.6,0.67,0,4,0,16.9,0.87,3,290,10,1
450,Diogo Teixeira da Silva,FWD,12,1.7,7,17.76,337.0,304.2,237.9,6.38,0,19,4,87.5,8.08,12,1125,80,5
451,Caoimhin Kelleher,GKP,12,0.0,0,1.77,0.0,0.0,0.0,0.0,6,4,0,0.0,0.0,1,90,2,0
452,Ibrahima Konaté,DEF,12,0.65,0,24.34,144.0,285.6,39.6,1.21,0,22,0,46.8,1.86,17,1551,49,7
453,Curtis Jones,MID,12,1.36,3,15.6,236.0,266.2,214.4,1.15,0,15,1,71.6,2.51,12,1029,52,4
454,Konstantinos Tsimikas,DEF,12,1.3,0,14.45,124.0,177.6,281.7,0.68,0,11,4,58.5,1.98,9,762,48,4
455,Luis Díaz,MID,12,1.32,4,11.99,388.0,236.2,176.7,2.48,0,11,2,80.1,3.8,11,991,62,4
456,Harvey Elliott,MID,12,4.31,1,26.07,363.0,257.0,372.3,2.12,0,20,2,99.4,6.43,18,1600,62,5
457,Fábio Freitas Gouveia Carvalho,MID,12,0.25,2,5.01,173.0,89.4,36.7,1.11,0,3,1,29.7,1.36,4,339,27,0
458,Darwin Núñez Ribeiro,FWD,12,2.66,9,28.62,1078.0,458.2,336.9,12.15,0,22,5,186.0,14.81,19,1684,100,7
459,Calvin Ramsay,DEF,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
460,Adrián San Miguel del Castillo,GKP,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
461,Rhys Williams,DEF,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
462,Ben Davies,DEF,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
463,Sepp van den Berg,DEF,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
464,Nathaniel Phillips,DEF,12,0.01,0,0.48,18.0,15.4,1.4,0.04,0,1,0,3.4,0.05,1,65,3,0
465,Luke Chambers,DEF,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
466,Stefan Bajcetic,MID,12,0.47,1,6.8,77.0,90.2,61.7,0.79,0,4,0,22.8,1.26,6,522,22,3
